title,company,location,jobType,salaryRange,description,skillsRequired
Frontend Developer,LinkedSphere Technologies,Bengaluru,Full-time,8-12 LPA,Build responsive candidate dashboards and recruiter workflows for a growing hiring platform.,"HTML, CSS, JavaScript, React"
Backend Engineer,TalentStack Systems,Hyderabad,Full-time,10-16 LPA,Develop APIs and secure services that support job posting and application features.,"Node.js, Express, SQL, REST"
Full Stack Developer,CareerBridge Labs,Pune,Full-time,12-18 LPA,Own features end to end across recruiter tools and seeker journeys.,"JavaScript, React, Node.js, MongoDB"
UI/UX Designer,HireFlow Creative,Remote,Contract,7-10 LPA,Design polished user flows and prototypes for job discovery experiences.,"Figma, Prototyping, UI Design, UX Research"
Data Analyst,Insight Grid,Chennai,Full-time,7-11 LPA,Analyze applicant funnel performance and build hiring dashboards.,"SQL, Excel, Power BI, Analytics"
DevOps Engineer,CloudNex HR Tech,Gurugram,Full-time,14-20 LPA,Improve deployments and infrastructure automation for production workloads.,"AWS, Docker, CI/CD, Linux"
QA Automation Engineer,RecruitLoop Digital,Noida,Full-time,8-13 LPA,Create automated test coverage for recruiter dashboards and API behavior.,"Selenium, JavaScript, API Testing, Cypress"
Product Manager,OpenHire Platforms,Mumbai,Full-time,18-26 LPA,Drive roadmap decisions for search recommendations and recruiter productivity features.,"Product Strategy, Agile, Analytics, Roadmaps"
Machine Learning Engineer,MatchSense AI,Bengaluru,Full-time,16-24 LPA,Build matching and recommendation models for relevant job discovery.,"Python, Machine Learning, Pandas, Scikit-learn"
Technical Recruiter,TalentForge Partners,Remote,Full-time,6-9 LPA,Source engineering candidates and coordinate interview pipelines.,"Sourcing, Screening, Communication, Hiring"
Mobile App Developer,SwiftHire Mobility,Kochi,Full-time,9-14 LPA,Develop mobile job browsing and application management experiences.,"Flutter, Dart, REST, Firebase"
Content Writer,BrandHire Media,Remote,Part-time,4-6 LPA,Write employer branding copy and clear job descriptions.,"Content Writing, SEO, Editing, Research"
